jsic	unified_id	reason
A	UNI-ca611ba14c	cap_per_jsic
A	UNI-ca8684b9d0	cap_per_jsic
A	UNI-cab4b84a48	cap_per_jsic
A	UNI-cceeac0ede	cap_per_jsic
A	UNI-cd6a477920	cap_per_jsic
A	UNI-cfae4f8fa4	cap_per_jsic
A	UNI-d0441b64a2	cap_per_jsic
A	UNI-d251cb9f06	cap_per_jsic
A	UNI-d2848979d9	cap_per_jsic
A	UNI-d4b4a0d445	cap_per_jsic
A	UNI-d669bbc4e5	cap_per_jsic
A	UNI-d67c2a594d	cap_per_jsic
A	UNI-d7123e064d	cap_per_jsic
A	UNI-d733cbf243	cap_per_jsic
A	UNI-d79c2affc6	cap_per_jsic
A	UNI-d7c7d6e776	cap_per_jsic
A	UNI-d94a20a290	cap_per_jsic
A	UNI-db379afd0b	cap_per_jsic
A	UNI-dbd22df2c5	cap_per_jsic
A	UNI-dc2cb6b66e	cap_per_jsic
A	UNI-dcf3923577	cap_per_jsic
A	UNI-dd142f65dd	cap_per_jsic
A	UNI-dd5dc45313	cap_per_jsic
A	UNI-df84c9fe64	cap_per_jsic
A	UNI-e02718d80d	cap_per_jsic
A	UNI-e052daf356	cap_per_jsic
A	UNI-e095cbf88a	cap_per_jsic
A	UNI-e096089422	cap_per_jsic
A	UNI-e1bd109315	cap_per_jsic
A	UNI-e2563a2d05	cap_per_jsic
A	UNI-e32193eb8e	cap_per_jsic
A	UNI-e32cb6b0e2	cap_per_jsic
A	UNI-e3e6ae5184	cap_per_jsic
A	UNI-e49b9d821e	cap_per_jsic
A	UNI-e6e7191788	cap_per_jsic
A	UNI-e709a090e7	cap_per_jsic
A	UNI-e95640c3e9	cap_per_jsic
A	UNI-ea0788c345	cap_per_jsic
A	UNI-ea8380ab57	cap_per_jsic
A	UNI-eb5eb17427	cap_per_jsic
A	UNI-eb6aef0d09	cap_per_jsic
A	UNI-ecd39f4f59	cap_per_jsic
A	UNI-ecf3615e7a	cap_per_jsic
A	UNI-ee3479a7d7	cap_per_jsic
A	UNI-ee7c124aeb	cap_per_jsic
A	UNI-eeb1d5fa2c	cap_per_jsic
A	UNI-eec62a5d20	cap_per_jsic
A	UNI-ef4beca937	cap_per_jsic
A	UNI-f0e5331c35	cap_per_jsic
A	UNI-f27175ea1f	cap_per_jsic
A	UNI-f36b6f29a1	cap_per_jsic
A	UNI-f3d57eb5b3	cap_per_jsic
A	UNI-f4350b5869	cap_per_jsic
A	UNI-f4a4b0ac58	cap_per_jsic
A	UNI-f4b92244df	cap_per_jsic
A	UNI-f50d581d71	cap_per_jsic
A	UNI-f66ffa510e	cap_per_jsic
A	UNI-f68a11363b	cap_per_jsic
A	UNI-f7320db696	cap_per_jsic
A	UNI-f816b58fc0	cap_per_jsic
A	UNI-f9295e664f	cap_per_jsic
A	UNI-f96e24e307	cap_per_jsic
A	UNI-fa39606d87	cap_per_jsic
A	UNI-fabdd7bd26	cap_per_jsic
A	UNI-fc3c58134c	cap_per_jsic
A	UNI-fd857d79c2	cap_per_jsic
A	UNI-fdd2aa73b3	cap_per_jsic
A	UNI-fe2ae8a323	cap_per_jsic
A	UNI-ffda7011cf	cap_per_jsic
A	UNI-015cc0898a	cap_per_jsic
A	UNI-01bfb51fd6	cap_per_jsic
A	UNI-02220740ac	cap_per_jsic
A	UNI-0315392dd0	cap_per_jsic
A	UNI-05001af783	cap_per_jsic
A	UNI-0500a4a6fc	cap_per_jsic
A	UNI-0b1f9f8ef3	cap_per_jsic
A	UNI-0c46420ba1	cap_per_jsic
A	UNI-0d2f39e2ea	cap_per_jsic
A	UNI-0e6425ec05	cap_per_jsic
A	UNI-0f1f28e525	cap_per_jsic
A	UNI-11e5cd8ed1	cap_per_jsic
A	UNI-130ae87809	cap_per_jsic
A	UNI-134b14f381	cap_per_jsic
A	UNI-145f5eb57a	cap_per_jsic
A	UNI-152971914b	cap_per_jsic
A	UNI-17161fb991	cap_per_jsic
A	UNI-180901c6c4	cap_per_jsic
A	UNI-18513439ce	cap_per_jsic
A	UNI-19896994df	cap_per_jsic
A	UNI-1a2649d733	cap_per_jsic
A	UNI-1b06c708fa	cap_per_jsic
A	UNI-1ba5e65e1f	cap_per_jsic
A	UNI-1ca7a10093	cap_per_jsic
A	UNI-1dab1b0482	cap_per_jsic
A	UNI-1ebcb5e33e	cap_per_jsic
A	UNI-21c5b8d181	cap_per_jsic
A	UNI-21ebed0a6d	cap_per_jsic
A	UNI-228a50005f	cap_per_jsic
A	UNI-2403fbff55	cap_per_jsic
A	UNI-2449767df9	cap_per_jsic
A	UNI-25542699ed	cap_per_jsic
A	UNI-25cd088bcf	cap_per_jsic
A	UNI-263a4b590d	cap_per_jsic
A	UNI-29702df212	cap_per_jsic
A	UNI-2a0a7dc6cf	cap_per_jsic
A	UNI-2b83531a51	cap_per_jsic
A	UNI-2c8b797b42	cap_per_jsic
A	UNI-2d6b61c48f	cap_per_jsic
A	UNI-2e905fbf76	cap_per_jsic
A	UNI-2eea6f77bc	cap_per_jsic
A	UNI-32e9a93659	cap_per_jsic
A	UNI-3398ea6e9e	cap_per_jsic
A	UNI-35d19d5329	cap_per_jsic
A	UNI-37bb6b3cac	cap_per_jsic
A	UNI-3c6253cb28	cap_per_jsic
A	UNI-3fddeb9464	cap_per_jsic
A	UNI-40c66bb6cc	cap_per_jsic
A	UNI-44423a7a4a	cap_per_jsic
A	UNI-4510a05eed	cap_per_jsic
A	UNI-478166deb1	cap_per_jsic
A	UNI-4b014cbe97	cap_per_jsic
A	UNI-4bf5ed8ca6	cap_per_jsic
A	UNI-4d53ac05f5	cap_per_jsic
A	UNI-4de773a988	cap_per_jsic
A	UNI-4e5b6e3608	cap_per_jsic
A	UNI-4eff6d8ed8	cap_per_jsic
A	UNI-52cb8cb569	cap_per_jsic
A	UNI-5475df2d21	cap_per_jsic
A	UNI-554ed77770	cap_per_jsic
A	UNI-572e9a2f3a	cap_per_jsic
